NODE;SCENARIO;TECHNOLOGY;YEAR;MIN CAPACITY [MW];MAX CAPACITY [MW]
DKE1;National Trends;Nuclear;2030;0;0
DKE1;National Trends;Nuclear;2035;0;0
DKE1;National Trends;Nuclear;2040;0;0
DKE1;National Trends;Nuclear;2045;0;0
DKE1;National Trends;Nuclear;2050;0;0
DKKF;National Trends;Nuclear;2030;0;0
DKKF;National Trends;Nuclear;2035;0;0
DKKF;National Trends;Nuclear;2040;0;0
DKKF;National Trends;Nuclear;2045;0;0
DKKF;National Trends;Nuclear;2050;0;0
DKW1;National Trends;Nuclear;2030;0;0
DKW1;National Trends;Nuclear;2035;0;0
DKW1;National Trends;Nuclear;2040;0;0
DKW1;National Trends;Nuclear;2045;0;0
DKW1;National Trends;Nuclear;2050;0;0
EE00;National Trends;Nuclear;2030;0;0
EE00;National Trends;Nuclear;2035;0;0
EE00;National Trends;Nuclear;2040;0;0
EE00;National Trends;Nuclear;2045;0;0
EE00;National Trends;Nuclear;2050;0;0
ES00;National Trends;Nuclear;2030;5100;5100
ES00;National Trends;Nuclear;2035;2550;2550
ES00;National Trends;Nuclear;2040;0;0
ES00;National Trends;Nuclear;2045;0;0
ES00;National Trends;Nuclear;2050;0;0
FI00;National Trends;Nuclear;2030;4394;4394
FI00;National Trends;Nuclear;2035;4394;4394
FI00;National Trends;Nuclear;2040;4394;4394
FI00;National Trends;Nuclear;2045;4394;4394
FI00;National Trends;Nuclear;2050;4394;4394
FR00;National Trends;Nuclear;2030;61761;61761
FR00;National Trends;Nuclear;2035;62334;62334
FR00;National Trends;Nuclear;2040;62907;62907
FR00;National Trends;Nuclear;2045;62907;62907
FR00;National Trends;Nuclear;2050;62907;62907
GR00;National Trends;Nuclear;2030;0;0
GR00;National Trends;Nuclear;2035;0;0
GR00;National Trends;Nuclear;2040;0;0
GR00;National Trends;Nuclear;2045;0;0
GR00;National Trends;Nuclear;2050;0;0
GR03;National Trends;Nuclear;2030;0;0
GR03;National Trends;Nuclear;2035;0;0
GR03;National Trends;Nuclear;2040;0;0
GR03;National Trends;Nuclear;2045;0;0
GR03;National Trends;Nuclear;2050;0;0
HR00;National Trends;Nuclear;2030;0;0
HR00;National Trends;Nuclear;2035;0;0
HR00;National Trends;Nuclear;2040;0;0
HR00;National Trends;Nuclear;2045;0;0
HR00;National Trends;Nuclear;2050;0;0
HU00;National Trends;Nuclear;2030;3097;3097
HU00;National Trends;Nuclear;2035;3687;3687
HU00;National Trends;Nuclear;2040;4277;4277
HU00;National Trends;Nuclear;2045;4277;4277
HU00;National Trends;Nuclear;2050;4277;4277
IE00;National Trends;Nuclear;2030;0;0
IE00;National Trends;Nuclear;2035;0;0
IE00;National Trends;Nuclear;2040;0;0
IE00;National Trends;Nuclear;2045;0;0
IE00;National Trends;Nuclear;2050;0;0
ITCA;National Trends;Nuclear;2030;0;0
ITCA;National Trends;Nuclear;2035;0;0
ITCA;National Trends;Nuclear;2040;0;0
ITCA;National Trends;Nuclear;2045;0;0
ITCA;National Trends;Nuclear;2050;0;0
ITCN;National Trends;Nuclear;2030;0;0
ITCN;National Trends;Nuclear;2035;0;0
ITCN;National Trends;Nuclear;2040;0;0
ITCN;National Trends;Nuclear;2045;0;0
ITCN;National Trends;Nuclear;2050;0;0
ITCS;National Trends;Nuclear;2030;0;0
ITCS;National Trends;Nuclear;2035;0;0
ITCS;National Trends;Nuclear;2040;0;0
ITCS;National Trends;Nuclear;2045;0;0
ITCS;National Trends;Nuclear;2050;0;0
ITN1;National Trends;Nuclear;2030;0;0
ITN1;National Trends;Nuclear;2035;0;0
ITN1;National Trends;Nuclear;2040;0;0
ITN1;National Trends;Nuclear;2045;0;0
ITN1;National Trends;Nuclear;2050;0;0
ITS1;National Trends;Nuclear;2030;0;0
ITS1;National Trends;Nuclear;2035;0;0
