ws;Technology;cat;par;unit;priceyear;note;ref;est;year;val
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Cv coefficient (50¡C/100¡C, additional to existing plant);;;[A, F];7;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Cv coefficient (50¡C/100¡C, additional to existing plant);;;[A, F];7;lower;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Cv coefficient (50¡C/100¡C, additional to existing plant);;;[A, F];7;upper;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Electrical efficiency (net, annual average, additional to existing plant) [];;;[E, F];7;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Electrical efficiency (net, annual average, additional to existing plant) [];;;[E, F];7;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Electrical efficiency (net, annual average, additional to existing plant) [];;;[E, F];7;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Electrical efficiency (net, annual average, additional to existing plant) [];;;[E, F];7;lower;2020;-0,01
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Electrical efficiency (net, annual average, additional to existing plant) [];;;[E, F];7;upper;2020;0,01
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Electrical efficiency (net, name plate, additional to existing plant) [];;;[E, F];7;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Electrical efficiency (net, name plate, additional to existing plant) [];;;[E, F];7;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Electrical efficiency (net, name plate, additional to existing plant) [];;;[E, F];7;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Electrical efficiency (net, name plate, additional to existing plant) [];;;[E, F];7;lower;2020;-0,01
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Electrical efficiency (net, name plate, additional to existing plant) [];;;[E, F];7;upper;2020;0,01
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Forced outage (additional to existing plant) [];;;[A, F];7;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Forced outage (additional to existing plant) [];;;[A, F];7;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Forced outage (additional to existing plant) [];;;[A, F];7;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Forced outage (additional to existing plant) [];;;[A, F];7;lower;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Forced outage (additional to existing plant) [];;;[A, F];7;upper;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;;;ctrl;2015;300
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;;;ctrl;2020;300
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;;;ctrl;2030;300
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;;;lower;2020;200
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;;;lower;2050;200
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;;;upper;2020;400
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Generating capacity for one unit [MW_e];MW_e;;;;upper;2050;400
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Planned outage (additional to existing plant) [weeks per year];weeks/year;;[A, F];7;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Planned outage (additional to existing plant) [weeks per year];weeks/year;;[A, F];7;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Planned outage (additional to existing plant) [weeks per year];weeks/year;;[A, F];7;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Planned outage (additional to existing plant) [weeks per year];weeks/year;;[A, F];7;lower;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Planned outage (additional to existing plant) [weeks per year];weeks/year;;[A, F];7;upper;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Space requirement (additional to existing plant) [1000 m2/MW_e];1000m2/MW_e;;[A, F];;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Space requirement (additional to existing plant) [1000 m2/MW_e];1000m2/MW_e;;[A, F];;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Space requirement (additional to existing plant) [1000 m2/MW_e];1000m2/MW_e;;[A, F];;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Space requirement (additional to existing plant) [1000 m2/MW_e];1000m2/MW_e;;[A, F];;lower;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Space requirement (additional to existing plant) [1000 m2/MW_e];1000m2/MW_e;;[A, F];;upper;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Technical lifetime [years];years;;;[4, 5, 6, 7];ctrl;2015;15
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Technical lifetime [years];years;;;[4, 5, 6, 7];ctrl;2020;15
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Energy/technical data;Technical lifetime [years];years;;;[4, 5, 6, 7];ctrl;2030;15
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;CH4 (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;CH4 (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;CH4 (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;CH4 (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;lower;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;CH4 (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;upper;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;N2O (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;N2O (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;N2O (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;N2O (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;lower;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;N2O (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;upper;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;NOX (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;NOX (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;NOX (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;ctrl;2030;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;NOX (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;lower;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;NOX (additional to existing plant) [g/GJ_i];g/GJ_i;;[A, F, G];8;upper;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;SO2 (degree of desulphuring, additional to existing plant) [];;;[A, F, G];8;ctrl;2015;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;SO2 (degree of desulphuring, additional to existing plant) [];;;[A, F, G];8;ctrl;2020;0
02 LTE existing plant;Life time extension of coal extraction plant - refurbish - coal - large;Environment;SO2 (degree of desulphuring, additional to existing plant) [];;;[A, F, G];8;ctrl;2030;0
