Year;Scenario;Technology;Node_Type;Value;Country;Climate_Year;Unit_Name
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;55,66334224;Portugal;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;55,66334224;Portugal;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;62,49301723;Romania;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;62,49301723;Romania;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;62,49301723;Romania;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;49,09353318;Serbia;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;49,09353318;Serbia;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;49,09353318;Serbia;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;32,13564846;Slovakia;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;32,13564846;Slovakia;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;32,13564846;Slovakia;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;18,02694207;Slovenia;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;18,02694207;Slovenia;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;18,02694207;Slovenia;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;269,4135726;Spain;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;269,4135726;Spain;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;269,4135726;Spain;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;152,5231828;Sweden;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;152,5231828;Sweden;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;152,5231828;Sweden;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;64,78607308;Switzerland;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;64,78607308;Switzerland;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;64,78607308;Switzerland;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;24,91179544;Tunisia;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;24,91179544;Tunisia;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;24,91179544;Tunisia;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;420,6231465;Turkey;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;420,6231465;Turkey;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;420,6231465;Turkey;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;345,0984837;UK;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;345,0984837;UK;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;345,0984837;UK;CY2009;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;151,3126148;Ukraine;CY1995;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;151,3126148;Ukraine;CY2008;TWh
2030;National Trends;Native Demand (excl. pump load and battery charge);Market;151,3126148;Ukraine;CY2009;TWh
