Year;Scenario;Category_Simple;Category_Detail;Value;Country;Climate_Year;Property_Name;Unit_Name
2030;National Trends;Gas;Gas CCGT;53,14636175;Germany;CY2009;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,152426917;Germany;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;1,030536961;Germany;CY2009;Generation;TWh
2030;National Trends;Gas;Hydrogen CCGT;5,821895602;Germany;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;22,24588;Germany;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas conventional;1,054767;Germany;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;2,399089;Germany;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen CCGT;8,826114;Germany;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;22,13630209;Greece;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;7,539602;Greece;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,147762;Greece;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;22,13630209;Greece;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;7,539602;Greece;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,147762;Greece;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;22,13630209;Greece;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;7,539602;Greece;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,147762;Greece;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;11,6405934;Hungary;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,00114;Hungary;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;3,445402;Hungary;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,268;Hungary;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;11,6405934;Hungary;CY2008;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,00114;Hungary;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;3,445402;Hungary;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,268;Hungary;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;11,6405934;Hungary;CY2009;Generation;TWh
2030;National Trends;Gas;Gas OCGT;0,00114;Hungary;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;3,445402;Hungary;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,268;Hungary;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;6,076783709;Ireland;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;5,702356;Ireland;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,116;Ireland;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen CCGT;0,14;Ireland;CY1995;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;6,076783709;Ireland;CY2008;Generation;TWh
2030;National Trends;Gas;Gas CCGT;5,702356;Ireland;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,116;Ireland;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen CCGT;0,14;Ireland;CY2008;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;6,076783709;Ireland;CY2009;Generation;TWh
2030;National Trends;Gas;Gas CCGT;5,702356;Ireland;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas OCGT;0,116;Ireland;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Hydrogen CCGT;0,14;Ireland;CY2009;Installed Capacity;GW
2030;National Trends;Gas;Gas CCGT;49,59338429;Israel;CY1995;Generation;TWh
2030;National Trends;Gas;Gas conventional;0,001319995;Israel;CY1995;Generation;TWh
2030;National Trends;Gas;Gas OCGT;2,71323704;Israel;CY1995;Generation;TWh
2030;National Trends;Gas;Gas CCGT;11,54;Israel;CY1995;Installed Capacity;GW
