OFFSHORE_NODE;OFFSHORE_NODE_TYPE;YEAR;SCENARIO;LAYER;TECH1;TECH2;EXISTING_MW;MARGIN_MW;MAX_MW
CYOR001;Radial;2030;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2035;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2040;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2045;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2050;Distributed Energy;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2030;Distributed Energy;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2035;Distributed Energy;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2040;Distributed Energy;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2045;Distributed Energy;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2050;Distributed Energy;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2030;Distributed Energy;DC_FL;DC_FL_R;;0;0;0
CYOR001;Radial;2035;Distributed Energy;DC_FL;DC_FL_R;;0;0;0
CYOR001;Radial;2040;Distributed Energy;DC_FL;DC_FL_R;;0;0;0
CYOR001;Radial;2045;Distributed Energy;DC_FL;DC_FL_R;;0;0;0
CYOR001;Radial;2050;Distributed Energy;DC_FL;DC_FL_R;;0;0;0
CYOR001;Radial;2030;Global Ambition;AC_FB;AC_FB_R;;0;0;0
CYOR001;Radial;2035;Global Ambition;AC_FB;AC_FB_R;;0;0;0
CYOR001;Radial;2040;Global Ambition;AC_FB;AC_FB_R;;0;0;0
CYOR001;Radial;2045;Global Ambition;AC_FB;AC_FB_R;;0;0;0
CYOR001;Radial;2050;Global Ambition;AC_FB;AC_FB_R;;0;0;0
CYOR001;Radial;2030;Global Ambition;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2035;Global Ambition;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2040;Global Ambition;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2045;Global Ambition;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2050;Global Ambition;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2030;Global Ambition;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2035;Global Ambition;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2040;Global Ambition;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2045;Global Ambition;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2050;Global Ambition;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2030;Global Ambition;DC_FL;DC_FL_R;;0;0;0
CYOR001;Radial;2035;Global Ambition;DC_FL;DC_FL_R;;0;0;0
CYOR001;Radial;2040;Global Ambition;DC_FL;DC_FL_R;;0;0;0
CYOR001;Radial;2045;Global Ambition;DC_FL;DC_FL_R;;0;0;0
CYOR001;Radial;2050;Global Ambition;DC_FL;DC_FL_R;;0;0;0
CYOR001;Radial;2030;National Trends;AC_FB;AC_FB_R;;0;0;0
CYOR001;Radial;2035;National Trends;AC_FB;AC_FB_R;;0;0;0
CYOR001;Radial;2040;National Trends;AC_FB;AC_FB_R;;0;0;0
CYOR001;Radial;2045;National Trends;AC_FB;AC_FB_R;;0;0;0
CYOR001;Radial;2050;National Trends;AC_FB;AC_FB_R;;0;0;0
CYOR001;Radial;2030;National Trends;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2035;National Trends;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2040;National Trends;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2045;National Trends;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2050;National Trends;AC_FL;AC_FL_R;;0;0;0
CYOR001;Radial;2030;National Trends;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2035;National Trends;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2040;National Trends;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2045;National Trends;DC_FB;DC_FB_R;;0;0;0
CYOR001;Radial;2050;National Trends;DC_FB;DC_FB_R;;0;0;0
