link_id,bus0,bus1,voltage,p_nom,length,underground,under_construction,tags,geometry
ITVI-ITSI-DC,ITVI,ITSI,380,1500,0.0,t,f,ITVI -> ITSI,'LINESTRING (13.863833035110499 37.54681112728547, 13.863833035110499 37.54681112728547)'
LT00-LV00-DC,LT00,LV00,380,950,228437.39860140072,t,f,LT00 -> LV00,'LINESTRING (23.61258634167173 55.19969671519252, 26.022833314662595 56.748759855423025)'
LT00-PL00-DC,LT00,PL00,380,700,458345.2016137124,t,f,LT00 -> PL00,'LINESTRING (23.61258634167173 55.19969671519252, 19.12839483240633 52.055838748018296)'
LT00-SE04-DC,LT00,SE04,380,700,588193.0889328521,t,f,LT00 -> SE04,'LINESTRING (23.61258634167173 55.19969671519252, 14.486207331708309 56.447228329921465)'
LUB1-BE00-DC,LUB1,BE00,380,0,105631.51860863314,t,f,LUB1 -> BE00,'LINESTRING (6.060078314929736 49.831245410072725, 4.96793113501169 50.47063494467691)'
LUF1-FR00-DC,LUF1,FR00,380,0,437734.6706439678,t,f,LUF1 -> FR00,'LINESTRING (6.060078314929736 49.831245410072725, 2.5531561680612014 46.661234529363774)'
LUG1-BE00-DC,LUG1,BE00,380,180,105631.51860863314,t,f,LUG1 -> BE00,'LINESTRING (6.060078314929736 49.831245410072725, 4.96793113501169 50.47063494467691)'
LUG1-DE00-DC,LUG1,DE00,380,2400,320895.19070010784,t,f,LUG1 -> DE00,'LINESTRING (6.060078314929736 49.831245410072725, 10.11340015140031 51.10991486311772)'
LUV1-DE00-DC,LUV1,DE00,380,1300,320895.19070010784,t,f,LUV1 -> DE00,'LINESTRING (6.060078314929736 49.831245410072725, 10.11340015140031 51.10991486311772)'
LV00-EE00-DC,LV00,EE00,380,879,223577.80181842486,t,f,LV00 -> EE00,'LINESTRING (26.022833314662595 56.748759855423025, 25.482370888474648 58.72805946009988)'
LV00-LT00-DC,LV00,LT00,380,950,228437.39860140072,t,f,LV00 -> LT00,'LINESTRING (26.022833314662595 56.748759855423025, 23.61258634167173 55.19969671519252)'
ME00-AL00-DC,ME00,AL00,380,400,189342.8900817466,t,f,ME00 -> AL00,'LINESTRING (19.082581244926107 42.67587451024281, 20.036883988642362 41.117587702511265)'
ME00-BA00-DC,ME00,BA00,380,500,174703.76968735445,t,f,ME00 -> BA00,'LINESTRING (19.082581244926107 42.67587451024281, 17.867837381251395 43.98201574415204)'
ME00-ITCS-DC,ME00,ITCS,380,600,498849.2164986131,t,f,ME00 -> ITCS,'LINESTRING (19.082581244926107 42.67587451024281, 13.162117286238232 41.846461058064115)'
ME00-RS00-DC,ME00,RS00,380,540,224314.91122765827,t,f,ME00 -> RS00,'LINESTRING (19.082581244926107 42.67587451024281, 20.844931029154555 44.22438574020019)'
MK00-AL00-DC,MK00,AL00,380,500,153308.70660725507,t,f,MK00 -> AL00,'LINESTRING (21.73596299130559 41.612799248609235, 20.036883988642362 41.117587702511265)'
MK00-BG00-DC,MK00,BG00,380,400,320682.3359814209,t,f,MK00 -> BG00,'LINESTRING (21.73596299130559 41.612799248609235, 25.323948321769798 42.66875960983357)'
