carrier,index_carrier,bus,p_nom,e_nom,efficiency,country,unit,open_tyndp_type
hydro-phs-pure,hydro-phs-pure-turbine,BE00,1305.0,0.0,1.0,BE,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,BE00,-1226.76,0.0,1.0,BE,MW,hydro-phs-pure-pump
onwind,onwind,BE00,5248.0,0.0,1.0,BE,MW,onwind
offwind,offwind,BE00,4360.0,0.0,1.0,BE,MW,offwind
solar-thermal,solar-thermal,BE00,0.0,0.0,1.0,BE,MW,solar-thermal
solar-pv-utility,solar-pv-utility,BE00,0.0,0.0,1.0,BE,MW,solar-pv-utility
solar-pv-rooftop,solar-pv-rooftop,BE00,13610.0,0.0,1.0,BE,MW,solar-pv-rooftop
solar-thermal-w-storage,solar-thermal-w-storage,BE00,0.0,0.0,1.0,BE,MW,solar-thermal-w-storage
solar-thermal-w-storage,solar-thermal-w-storage-storage,BE00,0.0,0.0,1.0,BE,MWh,solar-thermal-w-storage-storage
battery,battery-charge,BE00,594.3584,0.0,0.9199999999999998,BE,MW,battery-charge
battery,battery-discharge,BE00,594.3584,0.0,0.9199999999999998,BE,MW,battery-discharge
battery,battery-store,BE00,0.0,2046.290754392523,0.9199999999999998,BE,MWh,battery-store
uranium,nuclear,BE00,2077.0,0.0,1.0,BE,MW,nuclear
coal,coal-old1,BE00,0.0,0.0,1.0,BE,MW,coal
coal,coal-old2,BE00,354.4,0.0,1.0,BE,MW,coal
coal,coal-new,BE00,0.0,0.0,1.0,BE,MW,coal
coal,coal-ccs,BE00,0.0,0.0,1.0,BE,MW,coal-ccs
lignite,lignite-old1,BE00,0.0,0.0,1.0,BE,MW,lignite
lignite,lignite-old2,BE00,0.0,0.0,1.0,BE,MW,lignite
lignite,lignite-new,BE00,0.0,0.0,1.0,BE,MW,lignite
lignite,lignite-ccs,BE00,0.0,0.0,1.0,BE,MW,lignite-ccs
gas,gas-conv-old1,BE00,0.0,0.0,1.0,BE,MW,gas-conv
gas,gas-conv-old2,BE00,871.0,0.0,1.0,BE,MW,gas-conv
gas,gas-ccgt-old1,BE00,0.0,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-old2,BE00,0.0,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-new,BE00,1775.0,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-ccs,BE00,0.0,0.0,1.0,BE,MW,gas-ccgt-ccs
gas,gas-ocgt-old,BE00,0.0,0.0,1.0,BE,MW,gas-ocgt
gas,gas-ocgt-new,BE00,244.0,0.0,1.0,BE,MW,gas-ocgt
oil-light,oil-light,BE00,0.0,0.0,1.0,BE,MW,oil-light
oil-heavy,oil-heavy-old1,BE00,140.0,0.0,1.0,BE,MW,oil-heavy
oil-heavy,oil-heavy-old2,BE00,0.0,0.0,1.0,BE,MW,oil-heavy
oil-shale,oil-shale-old,BE00,0.0,0.0,1.0,BE,MW,oil-shale
oil-shale,oil-shale-new,BE00,0.0,0.0,1.0,BE,MW,oil-shale
gas,gas-ccgt-present1,BE00,0.0,0.0,1.0,BE,MW,gas-ccgt
gas,gas-ccgt-present2,BE00,1732.1,0.0,1.0,BE,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,BE00,0.0,0.0,1.0,BE,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,BE00,0.0,0.0,1.0,BE,MW,h2-ccgt
chp,chp-gas-conventional-old-2-industrial-0eur,BE00,1594.0,0.0,0.41,BE,MW,
other-res,other-res,BE00,614.625,0.0,1.0,BE,MW,other-res
electrolyser,electrolyser-onshore-grid,BG00,65,0.0,0,BG,MW,electrolyser-onshore-grid
hydro-ror,hydro-ror-turbine,BG00,535.51,0.0,1.0,BG,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,BG00,0.0,0.0,1.0,BG,MWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,BG00,0.0,0.0,1.0,BG,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,BG00,0.0,842860.8593812599,1.0,BG,MWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,BG00,1281.3,0.0,1.0,BG,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,BG00,0.0,42142.550134690195,1.0,BG,MWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,BG00,535.0,0.0,1.0,BG,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,BG00,-148.0,0.0,1.0,BG,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,BG00,0.0,227635.753968254,1.0,BG,MWh,hydro-phs-pure-reservoir
hydro-phs-pure,hydro-phs-pure-turbine,BG00,864.0,0.0,1.0,BG,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,BG00,-784.0,0.0,1.0,BG,MW,hydro-phs-pure-pump
onwind,onwind,BG00,948.0,0.0,1.0,BG,MW,onwind
offwind,offwind,BG00,0.0,0.0,1.0,BG,MW,offwind
solar-thermal,solar-thermal,BG00,0.0,0.0,1.0,BG,MW,solar-thermal
solar-pv-utility,solar-pv-utility,BG00,2837.237,0.0,1.0,BG,MW,solar-pv-utility
solar-pv-rooftop,solar-pv-rooftop,BG00,621.0,0.0,1.0,BG,MW,solar-pv-rooftop
solar-thermal-w-storage,solar-thermal-w-storage,BG00,0.0,0.0,1.0,BG,MW,solar-thermal-w-storage
solar-thermal-w-storage,solar-thermal-w-storage-storage,BG00,0.0,0.0,1.0,BG,MWh,solar-thermal-w-storage-storage
battery,battery-charge,BG00,1500,0.0,0.92,BG,MW,battery-charge
battery,battery-discharge,BG00,1600,0.0,0.92,BG,MW,battery-discharge
battery,battery-store,BG00,0.0,6000,0.92,BG,MWh,battery-store
uranium,nuclear,BG00,2000.0,0.0,1.0,BG,MW,nuclear
coal,coal-old1,BG00,0.0,0.0,1.0,BG,MW,coal
coal,coal-old2,BG00,0.0,0.0,1.0,BG,MW,coal
coal,coal-new,BG00,0.0,0.0,1.0,BG,MW,coal
coal,coal-ccs,BG00,0.0,0.0,1.0,BG,MW,coal-ccs
lignite,lignite-old1,BG00,1904.0,0.0,1.0,BG,MW,lignite
lignite,lignite-old2,BG00,600.0,0.0,1.0,BG,MW,lignite
lignite,lignite-new,BG00,0.0,0.0,1.0,BG,MW,lignite
lignite,lignite-ccs,BG00,0.0,0.0,1.0,BG,MW,lignite-ccs
gas,gas-conv-old1,BG00,968.0,0.0,1.0,BG,MW,gas-conv
gas,gas-conv-old2,BG00,0.0,0.0,1.0,BG,MW,gas-conv
gas,gas-ccgt-old1,BG00,0.0,0.0,1.0,BG,MW,gas-ccgt
gas,gas-ccgt-old2,BG00,0.0,0.0,1.0,BG,MW,gas-ccgt
gas,gas-ccgt-new,BG00,991.0,0.0,1.0,BG,MW,gas-ccgt
gas,gas-ccgt-ccs,BG00,0.0,0.0,1.0,BG,MW,gas-ccgt-ccs
gas,gas-ocgt-old,BG00,0.0,0.0,1.0,BG,MW,gas-ocgt
gas,gas-ocgt-new,BG00,20.0,0.0,1.0,BG,MW,gas-ocgt
oil-light,oil-light,BG00,0.0,0.0,1.0,BG,MW,oil-light
oil-heavy,oil-heavy-old1,BG00,0.0,0.0,1.0,BG,MW,oil-heavy
oil-heavy,oil-heavy-old2,BG00,0.0,0.0,1.0,BG,MW,oil-heavy
oil-shale,oil-shale-old,BG00,0.0,0.0,1.0,BG,MW,oil-shale
oil-shale,oil-shale-new,BG00,0.0,0.0,1.0,BG,MW,oil-shale
gas,gas-ccgt-present1,BG00,0.0,0.0,1.0,BG,MW,gas-ccgt
gas,gas-ccgt-present2,BG00,97.0,0.0,1.0,BG,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,BG00,0.0,0.0,1.0,BG,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,BG00,0.0,0.0,1.0,BG,MW,h2-ccgt
other-res,other-res,BG00,302,0.0,1.0,BG,MW,other-res
electrolyser,electrolyser-onshore-grid,CH00,262.6498727486554,0.0,0.68,CH,MW,electrolyser-onshore-grid
hydro-ror,hydro-ror-turbine,CH00,4215.0,0.0,1.0,CH,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,CH00,0.0,0.0,1.0,CH,MWh,hydro-pondage-reservoir
hydro-pondage,hydro-pondage-turbine,CH00,0.0,0.0,1.0,CH,MW,hydro-pondage-turbine
hydro-reservoir,hydro-reservoir-reservoir,CH00,0.0,7911953.267834674,1.0,CH,MWh,hydro-reservoir-reservoir
hydro-reservoir,hydro-reservoir-turbine,CH00,8530.0,0.0,1.0,CH,MW,hydro-reservoir-turbine
hydro-phs,hydro-phs-reservoir,CH00,0.0,1194000.0,1.0,CH,MWh,hydro-phs-reservoir
hydro-phs,hydro-phs-turbine,CH00,2460.0,0.0,1.0,CH,MW,hydro-phs-turbine
hydro-phs,hydro-phs-pump,CH00,-1890.0,0.0,1.0,CH,MW,hydro-phs-pump
hydro-phs-pure,hydro-phs-pure-reservoir,CH00,0.0,56000.0,1.0,CH,MWh,hydro-phs-pure-reservoir
hydro-phs-pure,hydro-phs-pure-turbine,CH00,1900.0,0.0,1.0,CH,MW,hydro-phs-pure-turbine
hydro-phs-pure,hydro-phs-pure-pump,CH00,-1900.0,0.0,1.0,CH,MW,hydro-phs-pure-pump
onwind,onwind,CH00,310.0,0.0,1.0,CH,MW,onwind
offwind,offwind,CH00,0.0,0.0,1.0,CH,MW,offwind
solar-thermal,solar-thermal,CH00,0.0,0.0,1.0,CH,MW,solar-thermal
solar-pv-utility,solar-pv-utility,CH00,0.0,0.0,1.0,CH,MW,solar-pv-utility
solar-pv-rooftop,solar-pv-rooftop,CH00,9770.26857142857,0.0,1.0,CH,MW,solar-pv-rooftop
solar-thermal-w-storage,solar-thermal-w-storage,CH00,0.0,0.0,1.0,CH,MW,solar-thermal-w-storage
solar-thermal-w-storage,solar-thermal-w-storage-storage,CH00,0.0,0.0,1.0,CH,MWh,solar-thermal-w-storage-storage
battery,battery-charge,CH00,1221.283571428571,0.0,0.9199999999999999,CH,MW,battery-charge
battery,battery-discharge,CH00,1221.283571428571,0.0,0.9199999999999999,CH,MW,battery-discharge
battery,battery-store,CH00,0.0,610.6417857142857,0.9199999999999999,CH,MWh,battery-store
uranium,nuclear,CH00,1190.0,0.0,1.0,CH,MW,nuclear
coal,coal-old1,CH00,0.0,0.0,1.0,CH,MW,coal
coal,coal-old2,CH00,0.0,0.0,1.0,CH,MW,coal
coal,coal-new,CH00,0.0,0.0,1.0,CH,MW,coal
coal,coal-ccs,CH00,0.0,0.0,1.0,CH,MW,coal-ccs
lignite,lignite-old1,CH00,0.0,0.0,1.0,CH,MW,lignite
lignite,lignite-old2,CH00,0.0,0.0,1.0,CH,MW,lignite
lignite,lignite-new,CH00,0.0,0.0,1.0,CH,MW,lignite
lignite,lignite-ccs,CH00,0.0,0.0,1.0,CH,MW,lignite-ccs
gas,gas-conv-old1,CH00,0.0,0.0,1.0,CH,MW,gas-conv
gas,gas-conv-old2,CH00,0.0,0.0,1.0,CH,MW,gas-conv
gas,gas-ccgt-old1,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt
gas,gas-ccgt-old2,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt
gas,gas-ccgt-new,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt
gas,gas-ccgt-ccs,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt-ccs
gas,gas-ocgt-old,CH00,0.0,0.0,1.0,CH,MW,gas-ocgt
gas,gas-ocgt-new,CH00,0.0,0.0,1.0,CH,MW,gas-ocgt
oil-light,oil-light,CH00,0.0,0.0,1.0,CH,MW,oil-light
oil-heavy,oil-heavy-old1,CH00,0.0,0.0,1.0,CH,MW,oil-heavy
oil-heavy,oil-heavy-old2,CH00,0.0,0.0,1.0,CH,MW,oil-heavy
oil-shale,oil-shale-old,CH00,0.0,0.0,1.0,CH,MW,oil-shale
oil-shale,oil-shale-new,CH00,0.0,0.0,1.0,CH,MW,oil-shale
gas,gas-ccgt-present1,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt
gas,gas-ccgt-present2,CH00,0.0,0.0,1.0,CH,MW,gas-ccgt
h2-fuel-cell,h2-fuel-cell,CH00,0.0,0.0,1.0,CH,MW,h2-fuel-cell
h2-ccgt,h2-ccgt,CH00,0.0,0.0,1.0,CH,MW,h2-ccgt
chp,chp-gas-conventional-old-1-industrial-0eur,CH00,566.5990699412097,0.0,0.36,CH,MW,
other-res,other-res,CH00,425.8891116437436,0.0,1.0,CH,MW,other-res
electrolyser,electrolyser-onshore-grid,CY00,0,0.0,0,CY,MW,electrolyser-onshore-grid
hydro-ror,hydro-ror-turbine,CY00,0.0,0.0,1.0,CY,MW,hydro-ror-turbine
hydro-pondage,hydro-pondage-reservoir,CY00,0.0,0.0,1.0,CY,MWh,hydro-pondage-reservoir
